run_name,run_dir,constrained,n_spines,n_dendrites_per_soma,total_dendrites,n_soma,trainable_params,active_weights,all2all_weights,weight_reduction,density_overall,topology_png,arch_png,final_train_loss,final_val_loss,final_mae_az,final_mae_el,epoch_90pct,wall_time_s,itd_frac_name,overlap_name,dendrite_rule,channel_dend_split_name
constrained_s64_d4ps_so16_ifequal_split_ov25pct_drinterleaved_cdmerged,/home/mrsarti/rANN/sweep_results/runs/constrained_s64_d4ps_so16_ifequal_split_ov25pct_drinterleaved_cdmerged,True,64,4,64,16,54450,8832.0,54272.0,83.7,0.1627,runs/constrained_s64_d4ps_so16_ifequal_split_ov25pct_drinterleaved_cdmerged/masks_constrained_s64_dps4_so16_ifequal_split_ov25pct_drinterleaved_cdmerged.png,runs/constrained_s64_d4ps_so16_ifequal_split_ov25pct_drinterleaved_cdmerged/arch_constrained_s64_dps4_so16_ifequal_split_ov25pct_drinterleaved_cdmerged.png,-3398.143310546875,1690.6041259765625,66.07351684570312,22.6325740814209,4,96.47,equal_split,25pct,interleaved,merged
constrained_s64_d4ps_so16_ifequal_split_ov25pct_drinterleaved_cdsplit,/home/mrsarti/rANN/sweep_results/runs/constrained_s64_d4ps_so16_ifequal_split_ov25pct_drinterleaved_cdsplit,True,64,4,64,16,54450,8832.0,54272.0,83.7,0.1627,runs/constrained_s64_d4ps_so16_ifequal_split_ov25pct_drinterleaved_cdsplit/masks_constrained_s64_dps4_so16_ifequal_split_ov25pct_drinterleaved_cdsplit.png,runs/constrained_s64_d4ps_so16_ifequal_split_ov25pct_drinterleaved_cdsplit/arch_constrained_s64_dps4_so16_ifequal_split_ov25pct_drinterleaved_cdsplit.png,-3223.3916015625,1686.0576171875,65.15182495117188,22.32403564453125,5,97.85,equal_split,25pct,interleaved,split
constrained_s64_d4ps_so16_ifequal_split_ov25pct_drtopographic_cdmerged,/home/mrsarti/rANN/sweep_results/runs/constrained_s64_d4ps_so16_ifequal_split_ov25pct_drtopographic_cdmerged,True,64,4,64,16,54450,8832.0,54272.0,83.7,0.1627,runs/constrained_s64_d4ps_so16_ifequal_split_ov25pct_drtopographic_cdmerged/masks_constrained_s64_dps4_so16_ifequal_split_ov25pct_drtopographic_cdmerged.png,runs/constrained_s64_d4ps_so16_ifequal_split_ov25pct_drtopographic_cdmerged/arch_constrained_s64_dps4_so16_ifequal_split_ov25pct_drtopographic_cdmerged.png,-4156.97412109375,1691.4647216796875,70.38803100585938,24.61651611328125,2,101.68,equal_split,25pct,topographic,merged
constrained_s64_d4ps_so16_ifequal_split_ov25pct_drtopographic_cdsplit,/home/mrsarti/rANN/sweep_results/runs/constrained_s64_d4ps_so16_ifequal_split_ov25pct_drtopographic_cdsplit,True,64,4,64,16,54450,8832.0,54272.0,83.7,0.1627,runs/constrained_s64_d4ps_so16_ifequal_split_ov25pct_drtopographic_cdsplit/masks_constrained_s64_dps4_so16_ifequal_split_ov25pct_drtopographic_cdsplit.png,runs/constrained_s64_d4ps_so16_ifequal_split_ov25pct_drtopographic_cdsplit/arch_constrained_s64_dps4_so16_ifequal_split_ov25pct_drtopographic_cdsplit.png,-3767.227783203125,1690.8941650390625,68.82997131347656,22.385393142700195,4,96.89,equal_split,25pct,topographic,split
constrained_s64_d4ps_so16_ifequal_split_ovstrict_drinterleaved_cdmerged,/home/mrsarti/rANN/sweep_results/runs/constrained_s64_d4ps_so16_ifequal_split_ovstrict_drinterleaved_cdmerged,True,64,4,64,16,54450,8832.0,54272.0,83.7,0.1627,runs/constrained_s64_d4ps_so16_ifequal_split_ovstrict_drinterleaved_cdmerged/masks_constrained_s64_dps4_so16_ifequal_split_ovstrict_drinterleaved_cdmerged.png,runs/constrained_s64_d4ps_so16_ifequal_split_ovstrict_drinterleaved_cdmerged/arch_constrained_s64_dps4_so16_ifequal_split_ovstrict_drinterleaved_cdmerged.png,-4856.78369140625,1690.2542724609375,73.26850891113281,22.308008193969727,5,98.31,equal_split,strict,interleaved,merged
constrained_s64_d4ps_so16_ifequal_split_ovstrict_drinterleaved_cdsplit,/home/mrsarti/rANN/sweep_results/runs/constrained_s64_d4ps_so16_ifequal_split_ovstrict_drinterleaved_cdsplit,True,64,4,64,16,54450,8832.0,54272.0,83.7,0.1627,runs/constrained_s64_d4ps_so16_ifequal_split_ovstrict_drinterleaved_cdsplit/masks_constrained_s64_dps4_so16_ifequal_split_ovstrict_drinterleaved_cdsplit.png,runs/constrained_s64_d4ps_so16_ifequal_split_ovstrict_drinterleaved_cdsplit/arch_constrained_s64_dps4_so16_ifequal_split_ovstrict_drinterleaved_cdsplit.png,-2642.184814453125,1689.670166015625,57.975311279296875,22.069814682006836,5,99.15,equal_split,strict,interleaved,split
constrained_s64_d4ps_so16_ifequal_split_ovstrict_drtopographic_cdmerged,/home/mrsarti/rANN/sweep_results/runs/constrained_s64_d4ps_so16_ifequal_split_ovstrict_drtopographic_cdmerged,True,64,4,64,16,54450,8832.0,54272.0,83.7,0.1627,runs/constrained_s64_d4ps_so16_ifequal_split_ovstrict_drtopographic_cdmerged/masks_constrained_s64_dps4_so16_ifequal_split_ovstrict_drtopographic_cdmerged.png,runs/constrained_s64_d4ps_so16_ifequal_split_ovstrict_drtopographic_cdmerged/arch_constrained_s64_dps4_so16_ifequal_split_ovstrict_drtopographic_cdmerged.png,-2881.237060546875,1681.5589599609375,61.59986877441406,22.221738815307617,6,97.35,equal_split,strict,topographic,merged
constrained_s64_d4ps_so16_ifequal_split_ovstrict_drtopographic_cdsplit,/home/mrsarti/rANN/sweep_results/runs/constrained_s64_d4ps_so16_ifequal_split_ovstrict_drtopographic_cdsplit,True,64,4,64,16,54450,8832.0,54272.0,83.7,0.1627,runs/constrained_s64_d4ps_so16_ifequal_split_ovstrict_drtopographic_cdsplit/masks_constrained_s64_dps4_so16_ifequal_split_ovstrict_drtopographic_cdsplit.png,runs/constrained_s64_d4ps_so16_ifequal_split_ovstrict_drtopographic_cdsplit/arch_constrained_s64_dps4_so16_ifequal_split_ovstrict_drtopographic_cdsplit.png,-2405.924072265625,1691.2940673828125,57.13878631591797,22.216707229614258,4,97.91,equal_split,strict,topographic,split
constrained_s64_d4ps_so16_ifitd_heavy_ov25pct_drinterleaved_cdmerged,/home/mrsarti/rANN/sweep_results/runs/constrained_s64_d4ps_so16_ifitd_heavy_ov25pct_drinterleaved_cdmerged,True,64,4,64,16,54450,11647.0,54272.0,78.5,0.2146,runs/constrained_s64_d4ps_so16_ifitd_heavy_ov25pct_drinterleaved_cdmerged/masks_constrained_s64_dps4_so16_ifitd_heavy_ov25pct_drinterleaved_cdmerged.png,runs/constrained_s64_d4ps_so16_ifitd_heavy_ov25pct_drinterleaved_cdmerged/arch_constrained_s64_dps4_so16_ifitd_heavy_ov25pct_drinterleaved_cdmerged.png,-4555.99267578125,1690.0001220703125,75.80756378173828,23.70611000061035,5,101.06,itd_heavy,25pct,interleaved,merged
constrained_s64_d4ps_so16_ifitd_heavy_ov25pct_drinterleaved_cdsplit,/home/mrsarti/rANN/sweep_results/runs/constrained_s64_d4ps_so16_ifitd_heavy_ov25pct_drinterleaved_cdsplit,True,64,4,64,16,54450,11647.0,54272.0,78.5,0.2146,runs/constrained_s64_d4ps_so16_ifitd_heavy_ov25pct_drinterleaved_cdsplit/masks_constrained_s64_dps4_so16_ifitd_heavy_ov25pct_drinterleaved_cdsplit.png,runs/constrained_s64_d4ps_so16_ifitd_heavy_ov25pct_drinterleaved_cdsplit/arch_constrained_s64_dps4_so16_ifitd_heavy_ov25pct_drinterleaved_cdsplit.png,-3643.093017578125,1688.1387939453125,75.04292297363281,23.441238403320312,5,96.19,itd_heavy,25pct,interleaved,split
